File name,Package name,File size,Package size,File size in package (%),File size in system (%)
bin/busybox,busybox,821704,830938,98.9,15.1
etc/inittab,busybox,1281,830938,0.2,0.0
usr/share/udhcpc/default.script,busybox,3133,830938,0.4,0.1
etc/init.d/S01syslogd,busybox,1012,830938,0.1,0.0
etc/init.d/S02klogd,busybox,1004,830938,0.1,0.0
etc/init.d/S02sysctl,busybox,2804,830938,0.3,0.1
lib/ld-linux-aarch64.so.1,glibc,178224,2164880,8.2,3.3
lib/libanl.so.1,glibc,5848,2164880,0.3,0.1
lib/libc.so.6,glibc,1388624,2164880,64.1,25.5
lib/libcrypt.so.1,glibc,34592,2164880,1.6,0.6
lib/libdl.so.2,glibc,5848,2164880,0.3,0.1
lib/libm.so.6,glibc,468776,2164880,21.7,8.6
lib/libpthread.so.0,glibc,8312,2164880,0.4,0.2
lib/libresolv.so.2,glibc,51192,2164880,2.4,0.9
lib/librt.so.1,glibc,5920,2164880,0.3,0.1
lib/libutil.so.1,glibc,5848,2164880,0.3,0.1
lib/libnss_files.so.2,glibc,5848,2164880,0.3,0.1
lib/libnss_dns.so.2,glibc,5848,2164880,0.3,0.1
lib/libgcc_s.so,host-gcc-final,132,2055458,0.0,0.0
lib/libgcc_s.so.1,host-gcc-final,133312,2055458,6.5,2.5
lib/libatomic.so.1.2.0,host-gcc-final,67568,2055458,3.3,1.2
usr/lib/libstdc++.so.6.0.30,host-gcc-final,1851928,2055458,90.1,34.1
usr/lib/libstdc++.so.6.0.30-gdb.py,host-gcc-final,2518,2055458,0.1,0.0
etc/network/if-pre-up.d/wait_iface,ifupdown-scripts,576,2040,28.2,0.0
etc/network/nfs_check,ifupdown-scripts,846,2040,41.5,0.0
etc/init.d/S40network,ifupdown-scripts,438,2040,21.5,0.0
etc/network/interfaces,ifupdown-scripts,180,2040,8.8,0.0
etc/init.d/rcK,initscripts,423,831,50.9,0.0
etc/init.d/rcS,initscripts,408,831,49.1,0.0
lib/modules/6.1.26/modules.order,linux,151,366024,0.0,0.0
lib/modules/6.1.26/modules.builtin,linux,4575,366024,1.2,0.1
lib/modules/6.1.26/modules.builtin.modinfo,linux,33191,366024,9.1,0.6
lib/modules/6.1.26/kernel/fs/efivarfs/efivarfs.ko,linux,23888,366024,6.5,0.4
lib/modules/6.1.26/kernel/net/802/p8022.ko,linux,4752,366024,1.3,0.1
lib/modules/6.1.26/kernel/net/802/psnap.ko,linux,8400,366024,2.3,0.2
lib/modules/6.1.26/kernel/net/802/stp.ko,linux,6416,366024,1.8,0.1
lib/modules/6.1.26/kernel/net/bridge/bridge.ko,linux,260152,366024,71.1,4.8
lib/modules/6.1.26/kernel/net/llc/llc.ko,linux,13120,366024,3.6,0.2
lib/modules/6.1.26/modules.dep,linux,267,366024,0.1,0.0
lib/modules/6.1.26/modules.dep.bin,linux,671,366024,0.2,0.0
lib/modules/6.1.26/modules.alias,linux,102,366024,0.0,0.0
lib/modules/6.1.26/modules.alias.bin,linux,125,366024,0.0,0.0
lib/modules/6.1.26/modules.softdep,linux,55,366024,0.0,0.0
lib/modules/6.1.26/modules.symbols,linux,1262,366024,0.3,0.0
lib/modules/6.1.26/modules.symbols.bin,linux,1839,366024,0.5,0.0
lib/modules/6.1.26/modules.builtin.bin,linux,4823,366024,1.3,0.1
lib/modules/6.1.26/modules.builtin.alias.bin,linux,2235,366024,0.6,0.0
lib/modules/6.1.26/modules.devname,linux,0,366024,0.0,0.0
etc/group,skeleton-init-common,306,16083,1.9,0.0
etc/hosts,skeleton-init-common,40,16083,0.2,0.0
etc/passwd,skeleton-init-common,340,16083,2.1,0.0
etc/protocols,skeleton-init-common,2744,16083,17.1,0.1
etc/services,skeleton-init-common,10873,16083,67.6,0.2
etc/shadow,skeleton-init-common,135,16083,0.8,0.0
etc/profile.d/umask.sh,skeleton-init-common,10,16083,0.1,0.0
etc/profile,skeleton-init-common,299,16083,1.9,0.0
THIS_IS_NOT_YOUR_ROOT_FILESYSTEM,skeleton-init-common,1336,16083,8.3,0.0
etc/fstab,skeleton-init-sysv,334,334,100.0,0.0
etc/nsswitch.conf,toolchain,230,230,100.0,0.0
etc/init.d/S20seedrng,urandom-scripts,1243,1243,100.0,0.0
